date,tempf
20080802,86
20080803,84
20080804,84
20080805,84
20080806,78.1
20080807,73.9
20080808,75.9
20080809,79
20080810,78.1
20080811,78.1
20080812,75.9
20080813,79
20080814,82.9
20080815,82.9
20080816,81
20080817,82.9
20080818,86
20080819,86
20080820,82
20080821,77
20080822,79
20080823,79
20080824,79
20080825,82.9
20080826,82.9
20080827,78.1
20080828,81
20080829,81
20080830,79
20080831,82
20080901,84
20080902,84
20080903,81
20080904,87.1
20080905,87.1
20080906,84.9
20080907,80.1
20080908,80.1
20080909,79
20080910,77
20080911,71.1
20080912,71.1
20080913,73
20080914,73
20080915,82.9
20080916,82.9
20080917,71.1
20080918,71.1
20080919,70
20080920,66.9
20080921,77
20080922,77
20080923,66.9
20080924,68
20080925,68
20080926,66.9
20080927,71.6
20080928,71.6
20080929,71.1
20080930,66.9
20081001,73
20081002,73
20081003,66
20081004,66
20081005,63
20081006,61
20081007,64.9
20081008,69.1
20081009,73
20081010,73
20081011,71.1
20081012,69.1
20081013,70
20081014,70
20081015,68
20081016,70
20081017,70
20081018,60.1
20081019,55
20081020,59
20081021,63
20081022,63
20081023,50
20081024,60.1
20081025,64
20081026,66
20081027,66
20081028,64
20081029,46
20081030,48
20081031,63
20081101,62.1
20081102,48.9
20081103,55
20081104,60.1
20081105,66
20081106,66
20081107,61
20081108,61
20081109,60.1
20081110,59
20081111,53.1
20081112,50
20081113,51.1
20081114,60.8
20081115,68
20081116,68
20081117,46.9
20081118,48
20081119,41
20081120,36
20081121,36
20081122,36
20081123,34
20081124,43
20081125,52
20081126,52
20081127,46
20081128,50
20081129,50
20081130,46
20081201,57.9
20081202,57.9
20081203,48.9
20081204,54
20081205,54
20081206,41
20081207,37
20081208,34
20081209,48.9
20081210,61
20081211,62.1
20081212,62.6
20081213,39
20081214,45
20081215,62.1
20081216,59
20081217,37.9
20081218,41
20081219,41
20081220,30.9
20081221,48
20081222,34
20081223,28
20081224,50
20081225,55.9
20081226,36
20081227,50
20081228,60.1
20081229,60.1
20081230,45
20081231,32
20090101,30
20090102,37
20090103,34
20090104,37.9
20090105,41
20090106,41
20090107,36
20090108,41
20090109,41
20090110,30
20090111,28.9
20090112,30
