date,c_rise,c_set
8/1/2009,410,1934
8/2/2009,411,1933
8/3/2009,412,1931
8/4/2009,413,1930
8/5/2009,414,1929
8/6/2009,415,1927
8/7/2009,416,1926
8/8/2009,417,1925
8/9/2009,419,1923
8/10/2009,420,1922
8/11/2009,421,1920
8/12/2009,422,1919
8/13/2009,423,1917
8/14/2009,424,1916
8/15/2009,425,1914
8/16/2009,426,1913
8/17/2009,427,1911
8/18/2009,429,1910
8/19/2009,430,1908
8/20/2009,431,1907
8/21/2009,432,1905
8/22/2009,433,1904
8/23/2009,434,1902
8/24/2009,435,1900
8/25/2009,436,1859
8/26/2009,437,1857
8/27/2009,438,1855
8/28/2009,440,1854
8/29/2009,441,1852
8/30/2009,442,1850
8/31/2009,443,1849
9/1/2009,444,1847
9/2/2009,445,1845
9/3/2009,446,1843
9/4/2009,447,1842
9/5/2009,448,1840
9/6/2009,449,1838
9/7/2009,450,1837
9/8/2009,451,1835
9/9/2009,452,1833
9/10/2009,453,1831
9/11/2009,454,1830
9/12/2009,455,1828
9/13/2009,457,1826
9/14/2009,458,1824
9/15/2009,459,1823
9/16/2009,500,1821
9/17/2009,501,1819
9/18/2009,502,1817
9/19/2009,503,1816
9/20/2009,504,1814
9/21/2009,505,1812
9/22/2009,506,1810
9/23/2009,507,1809
9/24/2009,508,1807
9/25/2009,509,1805
9/26/2009,510,1803
9/27/2009,511,1802
9/28/2009,512,1800
9/29/2009,513,1758
9/30/2009,514,1757
10/1/2009,515,1755
10/2/2009,516,1753
10/3/2009,517,1752
10/4/2009,518,1750
10/5/2009,519,1748
10/6/2009,520,1747
10/7/2009,522,1745
10/8/2009,523,1743
10/9/2009,524,1742
10/10/2009,525,1740
10/11/2009,526,1739
10/12/2009,527,1737
10/13/2009,528,1736
10/14/2009,529,1734
10/15/2009,530,1732
10/16/2009,531,1731
10/17/2009,532,1729
10/18/2009,533,1728
10/19/2009,534,1727
10/20/2009,536,1725
10/21/2009,537,1724
10/22/2009,538,1722
10/23/2009,539,1721
10/24/2009,540,1720
10/25/2009,541,1718
10/26/2009,542,1717
10/27/2009,543,1716
10/28/2009,544,1714
10/29/2009,546,1713
10/30/2009,547,1712
10/31/2009,548,1711
11/1/2009,549,1709
11/2/2009,550,1708
11/3/2009,551,1707
11/4/2009,552,1706
11/5/2009,554,1705
11/6/2009,555,1704
11/7/2009,556,1703
11/8/2009,557,1702
11/9/2009,558,1701
11/10/2009,559,1700
11/11/2009,600,1659
11/12/2009,601,1658
11/13/2009,603,1657
11/14/2009,604,1657
11/15/2009,605,1656
11/16/2009,606,1655
11/17/2009,607,1654
11/18/2009,608,1654
11/19/2009,609,1653
11/20/2009,610,1652
11/21/2009,612,1652
11/22/2009,613,1651
11/23/2009,614,1651
11/24/2009,615,1650
11/25/2009,616,1650
11/26/2009,617,1649
11/27/2009,618,1649
11/28/2009,619,1649
